#Wave,#Intensity
2987.425781,1148.871094
2985.943359,1187.672852
2984.462891,1273.515747
2982.980469,1251.394775
2981.498047,1257.946777
2980.013672,1227.404419
2978.531250,1164.842163
2977.048828,1237.136841
2975.564453,1243.685547
2974.080078,1216.532837
2972.597656,1196.127075
2971.113281,1209.415771
2969.628906,1247.962402
2968.144531,1247.767090
2966.658203,1237.469604
2965.173828,1206.974609
2963.687500,1280.841309
2962.203125,1248.665649
2960.716797,1231.642944
2959.230469,1189.390625
2957.744141,1187.520386
2956.257813,1244.512451
2954.771484,1172.010010
2953.285156,1215.536011
2951.796875,1198.532715
2950.308594,1215.148682
2948.822266,1186.387207
2947.333984,1231.561890
2945.845703,1191.047119
2944.357422,1211.011597
2942.869141,1209.137817
2941.378906,1250.920410
2939.890625,1156.705200
2938.400391,1238.767334
2936.912109,1174.792725
2935.421875,1224.942749
2933.931641,1275.076294
2932.441406,1253.062378
2930.951172,1271.307861
2929.458984,1138.624756
2927.968750,1195.445068
2926.476563,1206.984619
2924.986328,1205.111328
2923.494141,1225.023926
2922.001953,1187.961304
2920.509766,1219.596558
2919.017578,1189.246216
2917.523438,1200.773682
2916.031250,1190.529175
2914.537109,1240.557861
2913.044922,1188.462402
2911.550781,1221.738037
2910.056641,1174.682373
2908.562500,1214.640991
2907.068359,1236.185425
2905.572266,1222.599854
2904.078125,1185.607422
2902.582031,1228.880371
2901.087891,1233.690308
2899.591797,1191.699463
2898.095703,1219.908813
2896.599609,1216.362793
2895.103516,1199.453247
2893.605469,1220.965210
2892.109375,1284.219360
2890.611328,1172.132935
2889.113281,1166.927002
2887.617188,1220.142578
2886.119141,1236.624878
2884.621094,1199.707031
2883.121094,1176.147583
2881.623047,1214.312378
2880.123047,1205.767456
2878.625000,1192.222900
2877.125000,1192.019897
2875.625000,1195.150391
2874.125000,1209.945801
2872.625000,1204.740112
2871.125000,1222.860229
2869.623047,1204.327759
2868.123047,1192.463135
2866.621094,1200.584229
2865.119141,1230.345703
2863.617188,1193.512939
2862.115234,1203.293213
2860.613281,1249.678223
2859.109375,1231.161377
2857.607422,1192.689331
2856.103516,1175.851440
2854.601563,1134.076050
2853.097656,1200.382446
2851.593750,1186.875732
2850.089844,1199.965454
2848.583984,1229.667480
2847.080078,1269.327393
2845.574219,1229.238770
2844.070313,1229.024170
2842.564453,1205.561646
2841.058594,1200.369873
2839.552734,1186.879883
2838.044922,1208.247559
2836.539063,1178.166504
2835.033203,1141.459351
2833.525391,1217.563599
2832.017578,1214.032227
2830.509766,1225.425659
2829.001953,1216.919800
2827.494141,1231.623535
2825.986328,1178.370850
2824.476563,1231.187866
2822.968750,1184.580444
2821.458984,1169.462158
2819.949219,1180.847778
2818.439453,1231.969971
2816.929688,1261.551147
2815.419922,1196.770386
2813.908203,1208.141968
2812.398438,1232.746826
2810.886719,1288.776123
2809.375000,1260.425903
2807.863281,1268.469360
2806.351563,1241.785889
2804.839844,1266.361450
2803.326172,1281.010376
2801.814453,1232.854248
2800.300781,1270.635864
2798.787109,1242.322754
2797.273438,1288.347290
2795.759766,1212.149170
2794.246094,1299.440186
2792.732422,1332.222046
2791.216797,1325.378906
2789.703125,1252.528564
2788.187500,1379.346680
2786.671875,1298.264282
2785.156250,1354.106079
2783.640625,1330.773438
2782.123047,1342.072632
2780.607422,1297.320435
2779.089844,1343.231934
2777.572266,1384.182861
2776.054688,1416.880859
2774.537109,1383.677368
2773.019531,1450.948608
2771.501953,1424.336914
2769.982422,1432.307617
2768.464844,1425.460815
2766.945313,1537.108643
2765.425781,1538.471802
2763.906250,1557.930420
2762.386719,1641.529541
2760.865234,1739.898193
2759.345703,1719.846924
2757.824219,1808.300781
2756.304688,1867.136841
2754.783203,1968.676514
2753.261719,2058.677490
2751.738281,2133.860352
2750.216797,2246.790039
2748.693359,2316.983154
2747.171875,2470.880615
2745.648438,2508.175781
2744.125000,2612.744385
2742.601563,2684.456543
2741.078125,2866.059082
2739.552734,3034.471191
2738.029297,3168.381348
2736.503906,3177.627930
2734.978516,3277.033936
2733.455078,3486.217285
2731.927734,3482.287842
2730.402344,3606.155518
2728.876953,3769.291016
2727.349609,3804.615723
2725.824219,3849.751709
2724.296875,3834.294189
2722.769531,3859.763672
2721.242188,3728.111816
2719.712891,3591.600342
2718.185547,3491.130371
2716.656250,3377.612549
2715.128906,3264.136963
2713.599609,3250.440430
2712.070313,3117.414063
2710.541016,3005.684570
2709.009766,2951.190430
2707.480469,2955.532959
2705.949219,2968.040771
2704.419922,2936.447510
2702.888672,2811.792725
2701.357422,2803.095947
2699.824219,2835.208008
2698.292969,2833.036865
2696.761719,2842.287598
2695.228516,2773.230957
2693.695313,2784.119629
2692.162109,2754.236084
2690.628906,2644.475098
2689.095703,2655.380371
2687.560547,2708.654785
2686.027344,2638.070801
2684.492188,2645.711426
2682.957031,2500.239746
2681.421875,2428.106201
2679.886719,2432.525146
