#Wave,#Intensity
2897.384766,1021.492737
2895.884766,1133.140381
2894.384766,1202.942505
2892.882813,1149.448486
2891.382813,1119.289185
2889.880859,1097.465698
2888.378906,1105.620361
2886.876953,1132.085327
2885.376953,1163.535522
2883.873047,1173.339355
2882.371094,1189.796143
2880.869141,1141.359619
2879.365234,1084.620361
2877.863281,1131.021118
2876.359375,1125.853882
2874.855469,1158.931030
2873.351563,1143.785522
2871.847656,1190.146362
2870.343750,1214.886963
2868.839844,1168.166748
2867.333984,1184.595215
2865.830078,1184.406494
2864.324219,1144.356079
2862.818359,1174.064575
2861.314453,1105.801758
2859.808594,1113.925049
2858.300781,1133.664307
2856.794922,1121.865112
2855.289063,1098.454346
2853.781250,1153.025269
2852.273438,1181.038086
2850.767578,1096.264038
2849.259766,1150.807861
2847.751953,1140.673584
2846.244141,1135.515381
2844.734375,1171.793945
2843.226563,1208.060303
2841.716797,1149.872681
2840.208984,1106.613159
2838.699219,1060.054810
2837.189453,1109.563232
2835.679688,1104.413940
2834.169922,1152.242676
2832.658203,1122.258789
2831.148438,1125.383911
2829.636719,1148.364258
2828.126953,1143.211426
2826.615234,1121.518433
2825.103516,1180.872559
2823.591797,1122.800537
2822.080078,1139.147461
2820.566406,1168.713257
2819.054688,1160.254883
2817.541016,1110.486206
2816.029297,1178.042603
2814.515625,1138.198730
2813.001953,1141.311768
2811.488281,1151.029053
2809.974609,1145.882568
2808.458984,1112.673096
2806.945313,1127.341187
2805.429688,1145.304688
2803.914063,1141.811646
2802.400391,1130.070679
2800.882813,1199.157104
2799.367188,1121.442627
2797.851563,1154.230713
2796.335938,1219.979858
2794.818359,1171.970703
2793.300781,1168.475342
2791.785156,1095.774048
2790.267578,1189.494751
2788.750000,1120.108643
2787.230469,1164.384521
2785.712891,1154.305420
2784.195313,1121.180298
2782.675781,1150.617676
2781.156250,1209.669189
2779.636719,1163.386597
2778.117188,1177.993652
2776.597656,1171.210815
2775.078125,1157.851440
2773.558594,1202.050049
2772.037109,1218.283325
2770.515625,1188.483643
2768.996094,1201.426025
2767.474609,1206.147339
2765.953125,1240.440186
2764.429688,1209.013672
2762.908203,1246.578247
2761.386719,1289.055908
2759.863281,1206.739868
2758.339844,1242.642944
2756.816406,1280.174438
2755.292969,1298.000977
2753.769531,1296.132813
2752.246094,1313.949829
2750.720703,1343.240845
2749.197266,1320.047363
2747.671875,1375.558838
2746.146484,1390.069580
2744.621094,1427.520142
2743.095703,1450.209351
2741.570313,1504.019043
2740.042969,1531.600342
2738.517578,1670.540771
2736.990234,1694.807007
2735.462891,1797.650146
2733.935547,1887.361084
2732.408203,2029.411621
2730.880859,2074.867676
2729.353516,2195.564697
2727.824219,2334.211670
2726.296875,2458.089600
2724.767578,2603.179688
2723.238281,2630.506836
2721.708984,2706.860840
2720.177734,2848.558350
2718.648438,2944.452637
2717.119141,2989.667236
2715.587891,3126.335693
2714.056641,3153.535889
2712.525391,3241.139893
2710.994141,3372.789551
2709.462891,3365.651855
2707.931641,3343.828857
2706.398438,3432.964111
2704.867188,3419.291992
2703.333984,3381.158447
2701.800781,3344.668701
2700.267578,3451.671387
2698.734375,3304.330078
2697.199219,3271.131836
2695.666016,3324.312012
2694.130859,3315.560059
2692.595703,3355.679688
2691.060547,3208.486572
2689.525391,3303.974365
2687.990234,3200.801270
2686.455078,3170.915283
2684.917969,3160.569580
2683.382813,2958.219238
2681.845703,2778.718994
2680.308594,2718.024902
2678.771484,2545.138916
2677.234375,2417.843506
2675.695313,2184.924805
2674.158203,2077.246338
2672.619141,2021.610107
2671.080078,1930.248657
2669.542969,1902.275635
2668.001953,1843.453003
2666.462891,1791.147339
2664.923828,1802.180542
2663.382813,1769.380615
2661.843750,1760.937256
2660.302734,1721.665771
2658.761719,1692.142822
2657.220703,1646.409790
2655.677734,1634.750732
2654.136719,1632.824585
2652.595703,1569.294312
2651.052734,1569.001343
2649.509766,1452.027466
2647.966797,1542.490723
2646.423828,1441.764526
2644.880859,1441.494507
2643.335938,1391.024414
2641.792969,1316.287109
2640.248047,1311.183838
2638.703125,1257.528931
2637.158203,1304.218384
2635.613281,1247.348877
2634.066406,1188.882935
2632.521484,1187.041626
2630.974609,1248.260620
2629.427734,1205.993042
2627.882813,1154.043457
2626.333984,1184.529297
2624.787109,1098.673340
2623.240234,1137.234619
2621.691406,1137.019165
2620.144531,1161.025269
2618.595703,1126.901001
2617.046875,1075.033691
2615.498047,1120.017456
2613.947266,1110.123169
2612.398438,1164.762207
2610.847656,1062.925293
2609.298828,1057.884766
2607.748047,1051.233765
2606.197266,1121.961670
2604.646484,1157.204956
2603.093750,1034.517456
2601.542969,1082.652344
2599.990234,1129.157715
2598.437500,1075.795776
2596.884766,1059.487915
2595.332031,1056.065063
2593.779297,1076.786377
2592.226563,1039.567139
2590.671875,1092.461914
2589.117188,1048.819092
2587.562500,1048.617188
2586.007813,1038.767212
2584.453125,991.944031
2582.898438,1056.047852
2581.341797,1096.020752
2579.787109,1049.213135
2578.230469,1018.487793
2576.673828,989.380371
2575.117188,1056.633667
2573.560547,1006.658020
2572.001953,985.595337
2570.445313,1027.131470
2568.886719,1057.419189
2567.328125,1028.337036
2565.769531,991.246216
2564.210938,1007.089966
2562.652344,1095.077515
2561.091797,1062.803955
2559.531250,1044.967041
2557.972656,991.884277
2556.412109,996.497131
2554.851563,978.683167
2553.289063,1063.369507
2551.728516,1055.156006
2550.166016,970.105469
2548.605469,1049.941772
2547.042969,1024.132935
2545.480469,1020.732605
2543.916016,1054.123779
2542.353516,1053.917114
2540.791016,1010.538513
2539.226563,1000.748291
2537.662109,971.781860
2536.097656,1006.747131
2534.533203,1032.112305
2532.968750,1025.519653
2531.402344,1025.317749
2529.835938,1049.067017
2528.271484,1056.842407
2526.705078,1027.903687
2525.138672,1037.275757
2523.570313,1009.947510
2522.003906,1017.723877
2520.435547,1025.496948
2518.869141,982.241333
2517.300781,1009.148865
2515.732422,991.415955
2514.162109,981.657959
2512.593750,1048.381348
2511.025391,1005.163208
2509.455078,1003.371033
2507.884766,982.471436
2506.314453,977.500183
2504.744141,1042.565674
2503.171875,1066.229126
2501.601563,1007.147400
2500.029297,1061.032471
2498.458984,1022.650635
2496.886719,1036.757935
2495.312500,1012.704102
2493.740234,1045.881226
2492.167969,972.570740
2490.593750,1007.331238
2489.019531,1042.077637
2487.445313,1057.751465
2485.871094,1078.182495
2484.296875,1030.339355
2482.722656,1023.783997
2481.146484,1050.556885
2479.570313,1043.999878
2477.994141,1091.379639
2476.417969,1016.619202
2474.841797,1063.985229
2473.265625,1020.967041
2471.687500,1079.408081
2470.109375,1041.157959
2468.533203,1052.039307
2466.953125,1043.907227
2465.375000,1061.118408
2463.796875,1011.817993
2462.216797,1068.606445
2460.638672,1125.371826
2459.058594,1120.397339
2457.478516,1066.377686
2455.898438,1099.381104
2454.316406,1067.528564
2452.736328,1034.107544
2451.154297,1025.994019
2449.572266,1112.717529
2447.990234,1106.171387
2446.408203,1098.047729
2444.826172,1082.029297
2443.242188,1040.748657
2441.660156,988.431763
2440.076172,1018.225525
2438.492188,989.609009
2436.908203,1014.656189
2435.322266,971.852661
2433.738281,1014.243958
2432.152344,1025.077026
2430.566406,1005.947876
2428.980469,952.145630
2427.394531,955.103943
2425.808594,951.757935
2424.222656,972.044678
2422.634766,929.318420
2421.046875,962.199646
2419.458984,941.535156
2417.871094,927.175659
2416.283203,974.201294
2414.693359,879.591736
2413.105469,914.022095
2411.515625,863.503540
2409.925781,965.542358
2408.335938,954.339233
2406.744141,952.571960
2405.154297,966.521118
2403.562500,1004.033325
2401.970703,940.990112
2400.378906,901.531921
